source_document_id,source,reference,target_document_ids,target_sources,example_chunk_index
25cf7004-77fb-4fa9-b8fd-90a447f86971,docs_Consolidated Guidelines -Handbook -2023 PDF.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,50
261d9d37-4247-4073-8c65-3e03b442d423,Establishment of Elephant Rescue and Rehabilitation Centre in Sarguja Forest Division_ Chhattisgarh 30.05.2017.pdf,ForestConservation Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
28697147-e8bd-43cf-8643-948ead45fab2,1340429546_15-7-2004.docx,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
2955d429-424b-4be8-891f-d6989d88e999,Common guideline to be followed by FAC REC while considering the proposal under Forest _Conservation_ Act_ 1980. 29.01.2018-.pdf,Forest ConservationAct 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
2de7c9ef-7173-4ee1-a92f-a84528e24c38,CREATI_1.PDF,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
35979eb1-52d1-4a8e-add2-e3611bd19c07,Extended Reach Drilling _ERD_ Technology and the applicability 12.09.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
3a3762ca-c7a6-4952-9780-8f06a4d909f5,1202641178_21-12-2004.docx,"the Forest (Conservation) Act,, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
407751bc-c502-4196-bc94-d0152eef350a,Modification in the conditions stipulated in the approval granted under FC Act 1980 17.03.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
41072258-0c0b-4b54-9b75-c2f7db57f99d,safety zone afforestation.docx,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
438d04c4-0c9c-4ea1-901d-3e9b0669c535,ensuring compliance of the Schedule Tribes and Other Traditional Forest Dwellers _Recognition of Forest Right_ Act-2006 23.09.2017.pdf,"the Forest (Conservation) Act,1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
448632da-3f30-4363-8e87-e6ddee28f931,guidelines on FC act 25.11.1994.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
46da747a-a665-4906-9e67-de145042f007,Upgradation widening of roads_ constructed prior to 1980 15.03.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
47f2375e-cc31-4f15-9d3a-3b71c2d02096,FCAmendment2023-date of enactment.pdf,"the Forest

(Conservation) Amendment Act, 2023",0968db51-29d7-4563-84d5-df3a1ef17e05; 18073af1-0a38-4941-a47e-9a80d45a9c11,247866.pdf; FCAmendmentAct2023.pdf,0
48595f32-c7c8-4d28-882c-e0f4dc67e558,inclusion of guidelines related to Tripatite Agreement for reafforestation and rehabilitation of degraded forest land 26.08.2019.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4af5dcf1-92cf-474c-aa1a-b37482a9028e,1022033821_14-9-2004.docx,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4beecac4-34e1-49ce-9ba2-6e26c95bbc34,clarification on para 2.8 of guidelines 2013.pdf,"the Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4cd8f7b9-e8d1-469f-a75f-b91077f43c64,1722144502_4-10-2004.docx,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4d2addfb-9095-47a6-a366-a672451c25eb,Transfer of approvals granted 21.09.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4e8b5cdf-8d76-47b2-ace2-c83da241533c,Clarification on use of forest land for residential purposes etc_ under the provisions of Forest _Conservation_ Act_ 1980 24.01.2022.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
4f9508f2-9605-48b8-a441-c86003bae536,1353525669_guideline.docx,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
500e4d2c-9350-4359-aa86-665959ed4dbd,Submission of proposals to obtain approval entire forest land mining lease 20.06.2016.docx,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
52e8bb8e-6258-4b80-924c-37060e2f6bd2,Clarification on guideline dated 01.04.2015 and 01.05.2015 issued by this ministry regarding extension of period of validity 20.09.2017.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
531bace7-f07f-4341-b421-4214adb4345d,0_0_91119124212151Checklist.pdf,"forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,6
56fe502b-c031-4e14-948b-d3be1f42bb83,Forest _Conservation_ Rules_ 1981 _as amended up to May 1992_.pdf,"the Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
57043465-e496-4d58-8731-8c0ca112fd5f,Provisions and guidelines on compensatory afforestation 21.08.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
57eaba52-3836-4359-bee0-d68d3de9436d,diversion of forest land for non-forestry purpose under Forest _Conservation_Act_ 1980 for establishment construction of Zoo 30.09.2018.pdf,"Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5a92b908-c096-40cb-aa71-8fd62d2f6f04,Notification of the Forest _Conservation_ Rules_ 2022 29.06.22.pdf,"the Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,157
5aba813a-503e-4491-8554-6a0b64d11d57,THE COMPENSATORY AFFORESTATION FUND ACT_ 2016.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5bc99229-74d0-4c9e-a621-96b1795455fd,Forest _Conservation_ Rules_ 2003.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5ce598b8-ee20-42f2-ae2a-7eb57dbb8d4e,Guidelines under Forest _Conservation_ Act_ 1980_ in pursuance of the -The Mineral Laws _Amendment_ Act_ 2020 31.03.2020.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5d01f16d-0df3-4098-a4a7-f482889a889a,Maintenance of Safety Zone 04.12.2023.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5e7645d0-38a8-4d3e-b976-756198e8ac2a,Review of cases pending beyond timelines in the digitized services of MoEF 22.03.2017.docx,"Forest Conservation Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5ed2ed41-989b-48d5-a62a-36edc93c5be0,Clarifications on projects requiring prior approval of Standing Committee of NBWL _SC-NBWL_ under the provisions of Wildlife _Protection_ Act_ 1972 24.04.20.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5eec62d7-aafb-4e97-8f2f-d3e8de1824d5,Simplified version of the Van _Sanrakshan Evam Samvardhan_ Adhiniyam_ 1980 and Forest _Conservation_ Amendment Act_ 2023 -dated 11.07.2025.pdf,"Forest (Conservation) Amendment Act, 2023",0968db51-29d7-4563-84d5-df3a1ef17e05; 18073af1-0a38-4941-a47e-9a80d45a9c11,247866.pdf; FCAmendmentAct2023.pdf,0
5eec62d7-aafb-4e97-8f2f-d3e8de1824d5,Simplified version of the Van _Sanrakshan Evam Samvardhan_ Adhiniyam_ 1980 and Forest _Conservation_ Amendment Act_ 2023 -dated 11.07.2025.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,5
5f38e093-cad3-4caa-abd9-2d2571989c0e,guidelines-LWE-dated-3.11.2010-general approval.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
5fa208f9-0af6-4e5b-b721-932347dcbd70,Guidelines-LWE-05-01-2013.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
601faa99-210e-4c80-bb89-938922d92ad0,Forest Rights Act 2006 and guidelines.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,4
608a16f4-c7ce-4ad7-8335-dafe6c1a63ac,WRIT PETITION _CIVIL_ NO.202 OF 1995- T N Godavarman Judgement_24-Jan-2024.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,2
60a3f218-a47a-481a-974f-a0970e2c18c1,4-7-2014-4-fencing-of-sefety-zone.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
66cf5220-189f-415f-891c-9f998c1c734c,Identification of Land Bank for Compensatory Afforestation 08.11.2017.pdf,Forest Conservation Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
