filename,size_bytes,uploaded_at_utc,document_record_status,latest_job_status,failure_category,failure_reason,reason_source,attempt_count,latest_job_id,job_created_at_utc,job_started_at_utc,job_finished_at_utc,document_updated_at_utc
"Prospecting-exemption 2022-Guidelines.pdf",981757,2026-07-25T14:07:44.145000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ae499fe2-cb75-492b-920e-2df6ab91a548,2026-07-25T14:07:50.491189+00:00,2026-07-25T14:15:18.874644+00:00,2026-07-25T14:15:20.118235+00:00,
"Recorded as forest and non-forest 30.08.2016.pdf",346035,2026-08-04T12:24:34.257000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Recorded as forest and non-forest 30.08.2016.pdf: startxref not found","ingest_jobs.error",1,af50d253-9fb4-46c2-ba3d-31c3a476d5b1,2026-08-04T12:24:39.77959+00:00,2026-08-04T12:31:48.204312+00:00,2026-08-04T12:31:49.227209+00:00,
"Regarding refund of interest accured on compensatory levies in respect of proposal withdrawn closed by the State Government 16.04.20.pdf",122145,2026-07-27T14:47:52.389000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,43fe6bec-ff8c-4cae-ae7b-53a872873ac4,2026-07-27T14:47:57.757719+00:00,2026-07-27T14:55:24.164873+00:00,2026-07-27T14:55:25.873964+00:00,
"Retaining of guidelines dated 14.09.2004 and 30.04.2005 permitting repair and maintenance of roads constructed prior to 1980 11.09.20.pdf",69870,2026-07-27T14:47:55.369000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,dfe7e8cf-7404-4199-9d61-a167b665e9e6,2026-07-27T14:48:01.059661+00:00,2026-07-27T14:55:28.110605+00:00,2026-07-27T14:55:29.190444+00:00,
"Review of cases pending beyond timelines in the digitized services of MoEF 22.03.2017.pdf",3420315,2026-08-03T16:24:04.466000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Review of cases pending beyond timelines in the digitized services of MoEF 22.03.2017.pdf: startxref not found","ingest_jobs.error",1,e6d02dfe-c3da-45f0-b1e2-20f004435b98,2026-08-03T16:24:11.198895+00:00,2026-08-03T16:31:20.105833+00:00,2026-08-03T16:31:21.896609+00:00,
"Revision of Guidelines for diversion of forest land for non forestry purpose under the forest _Conservation_ Act_ 1980 17.04.2018.pdf",239445,2026-07-28T12:45:29.400000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,64fd9d78-1e12-47eb-b663-20364f5c28b4,2026-07-28T12:45:34.842373+00:00,2026-07-28T12:52:51.952895+00:00,2026-07-28T12:52:53.077625+00:00,
RoW of Railways.pdf,2734815,2026-07-25T14:08:25.034000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,22b30cd1-af76-457c-8a56-4a9b061652b9,2026-07-25T14:08:31.33256+00:00,2026-07-25T14:15:38.616256+00:00,2026-07-25T14:15:39.919369+00:00,
"Road on Non Forest - 2 times plantation.pdf",1552230,2026-07-25T09:44:30.494000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,21f07df5-ffbc-469c-bcf4-40a31ea03ebd,2026-07-25T09:44:37.218389+00:00,2026-07-25T09:52:33.068454+00:00,2026-07-25T09:52:34.541557+00:00,
Rule 16_1_-Reply to GoI.pdf,818268,2026-07-25T14:08:25.035000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,20d089d4-6e02-4c2d-b0a7-8e9c31cc1f97,2026-07-25T14:08:31.486405+00:00,2026-07-25T14:15:42.046284+00:00,2026-07-25T14:15:42.948889+00:00,
SUBMIS_1.PDF,1038105,2026-08-03T16:33:36.042000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF SUBMIS_1.PDF: startxref not found","ingest_jobs.error",1,ac418624-438c-43df-be0f-7a2725320b17,2026-08-03T16:33:42.567811+00:00,2026-08-03T16:40:50.737723+00:00,2026-08-03T16:40:51.92704+00:00,
